Date,Open,High,Low,Close,Adj Close,Volume
2004-05-03,16.600000,17.584999,16.350000,17.440001,12.667181,790800
2004-05-04,17.440001,17.969999,16.965000,17.549999,12.747077,410200
2004-05-05,17.725000,17.915001,17.580000,17.590000,12.798011,356800
2004-05-06,17.594999,17.594999,17.120001,17.330000,12.608838,353400
2004-05-07,17.280001,17.625000,16.035000,16.045000,11.673905,390600
2004-05-10,16.045000,16.770000,16.010000,16.344999,11.892178,692000
2004-05-11,16.625000,16.745001,16.420000,16.625000,12.095896,799000
2004-05-12,16.740000,17.000000,16.385000,17.000000,12.368738,597800
2004-05-13,16.875000,16.940001,16.299999,16.520000,12.019506,479000
2004-05-14,16.355000,16.750000,16.250000,16.365000,11.906736,429000
2004-05-17,16.315001,16.469999,15.880000,15.980000,11.626615,254600
2004-05-18,16.025000,16.995001,16.025000,16.995001,12.365099,373000
2004-05-19,17.150000,17.424999,16.754999,17.020000,12.383292,632200
2004-05-20,16.924999,17.280001,16.735001,17.125000,12.459684,495200
2004-05-21,17.290001,17.465000,17.070000,17.355000,12.627023,317400
2004-05-24,17.450001,17.625000,17.270000,17.385000,12.648858,407400
2004-05-25,17.750000,18.415001,17.665001,18.250000,13.278207,523400
2004-05-26,18.270000,18.365000,17.865000,17.995001,13.092680,282800
2004-05-27,18.150000,18.250000,17.705000,17.860001,12.994453,471200
2004-05-28,17.834999,18.350000,17.629999,18.295000,13.310950,262200
2004-06-01,18.235001,18.250000,17.825001,18.115000,13.179986,334400
2004-06-02,18.200001,18.250000,17.930000,18.110001,13.176348,286000
2004-06-03,18.100000,18.100000,17.565001,17.565001,12.779817,237600
2004-06-04,17.750000,17.799999,17.540001,17.639999,12.834385,272000
2004-06-07,17.665001,18.500000,17.625000,18.405001,13.390977,318400
2004-06-08,18.285000,18.299999,18.035000,18.225000,13.260014,317400
2004-06-09,18.150000,18.150000,17.690001,17.809999,12.958074,372600
2004-06-10,17.799999,18.170000,17.799999,17.910000,13.030827,398200
2004-06-14,17.910000,17.910000,17.400000,17.434999,12.685237,268000
2004-06-15,17.885000,18.285000,17.840000,18.139999,13.198173,394200
2004-06-16,18.225000,18.434999,17.930000,18.370001,13.365513,288400
2004-06-17,18.299999,19.004999,18.065001,18.740000,13.634719,681000
2004-06-18,18.740000,18.920000,18.510000,18.740000,13.634719,475200
2004-06-21,18.690001,18.705000,18.209999,18.280001,13.300034,309400
2004-06-22,18.535000,18.670000,18.000000,18.580000,13.518310,662400
2004-06-23,18.580000,19.495001,18.580000,19.424999,14.133106,420200
2004-06-24,19.405001,19.950001,19.145000,19.600000,14.260432,1124200
2004-06-25,19.745001,20.165001,19.575001,19.775000,14.387754,846800
2004-06-28,19.900000,20.049999,19.540001,19.695000,14.329547,370600
2004-06-29,19.730000,20.299999,19.730000,19.950001,14.515083,455600
2004-06-30,20.150000,20.305000,19.790001,20.160000,14.667872,349800
2004-07-01,20.170000,20.195000,19.629999,19.780001,14.391395,288400
2004-07-02,19.799999,19.980000,19.650000,19.805000,14.409584,205200
2004-07-06,19.885000,20.545000,19.844999,20.010000,14.558733,441200
2004-07-07,20.219999,21.010000,20.014999,20.690001,15.053485,541000
2004-07-08,20.500000,20.690001,20.305000,20.320000,14.784284,525600
2004-07-09,20.320000,20.815001,20.235001,20.655001,15.028022,330200
2004-07-12,20.700001,20.799999,20.430000,20.525000,14.933431,334200
2004-07-13,20.650000,20.950001,20.600000,20.945000,15.239012,426000
2004-07-14,20.945000,21.075001,20.650000,20.809999,15.140793,603600
2004-07-15,21.240000,21.379999,20.155001,20.500000,14.915249,952000
2004-07-16,20.650000,20.805000,20.420000,20.495001,14.911611,755600
2004-07-19,20.459999,20.495001,20.100000,20.115000,14.635126,518000
2004-07-20,20.150000,20.430000,19.809999,20.405001,14.846128,895800
2004-07-21,20.405001,20.405001,19.205000,19.264999,14.016693,847200
2004-07-22,19.264999,19.400000,18.674999,19.110001,13.903918,873400
2004-07-23,19.110001,19.110001,18.485001,18.584999,13.521948,841400
2004-07-26,18.799999,18.975000,18.684999,18.879999,13.736577,592800
2004-07-27,18.764999,19.575001,18.764999,19.500000,14.187671,604600
2004-07-28,19.459999,19.680000,19.315001,19.504999,14.191316,418800
2004-07-29,19.510000,19.825001,19.315001,19.705000,14.336829,269400
2004-07-30,19.650000,20.010000,19.650000,19.910000,14.485976,268200
2004-08-02,19.790001,20.350000,19.754999,20.260000,14.740634,449600
2004-08-03,20.000000,20.075001,19.514999,19.514999,14.198580,556600
2004-08-04,19.559999,19.559999,19.250000,19.290001,14.060093,449800
2004-08-05,19.340000,19.389999,18.930000,18.934999,13.801338,354000
2004-08-06,18.799999,18.809999,18.150000,18.219999,13.280193,555600
2004-08-09,18.209999,18.445000,18.080000,18.165001,13.240109,385400
2004-08-10,18.240000,19.125000,18.240000,19.105000,13.925257,453400
2004-08-11,18.980000,19.459999,18.690001,19.260000,14.038237,634600
2004-08-12,19.135000,19.135000,18.480000,18.535000,13.509792,277600
2004-08-13,18.615000,19.000000,18.615000,18.750000,13.666503,245800
2004-08-16,18.750000,19.309999,18.750000,19.195000,13.990852,219800
2004-08-17,19.320000,19.360001,19.000000,19.070000,13.899746,199000
2004-08-18,18.969999,19.250000,18.840000,19.180000,13.979924,231600
2004-08-19,19.180000,19.250000,18.850000,18.905001,13.779477,321400
2004-08-20,18.889999,19.135000,18.850000,19.070000,13.899746,378400
2004-08-23,19.195000,19.215000,18.655001,18.775000,13.684726,370000
2004-08-24,18.825001,19.120001,18.639999,18.860001,13.746679,248200
2004-08-25,18.760000,19.040001,18.540001,19.040001,13.877880,235000
2004-08-26,19.040001,19.049999,18.700001,18.870001,13.753970,185200
2004-08-27,18.820000,19.174999,18.790001,19.165001,13.968989,178400
2004-08-30,19.090000,19.215000,18.905001,18.920000,13.790413,245400
2004-08-31,18.975000,19.010000,18.709999,18.965000,13.823207,284000
2004-09-01,19.000000,19.150000,18.799999,18.995001,13.845082,256800
2004-09-02,19.045000,19.639999,18.980000,19.639999,14.315207,383600
2004-09-03,19.639999,19.754999,19.420000,19.424999,14.158494,246800
2004-09-07,19.424999,20.040001,19.424999,19.895000,14.501072,282800
2004-09-08,19.940001,20.139999,19.645000,19.680000,14.344360,264000
2004-09-09,20.020000,20.475000,19.844999,20.370001,14.847288,463200
